ID Projet,Nom du projet,Description,Année,Secteur,Pays,Taux Change Moyen (USD/EUR),Budget Initial (k€),Budget Final (k€),Écart Budget (%),Pénalités Historiques,Taux Imposition (%),Complexité Technique (1-5),Frais Imprévus (k€),Mode de Paiement,Qualité des Exigences (1-5),Durée Estimée (mois),Retard Moyen Historique (%),Date de Début,Date de Fin Initiale,Date de Fin Prévue,Écart de Délais (jours),risque_delais,risque_financement,risque_penalites,risque_fiscalite,risque_technique,risque_frais,moyenne_risques
AGRI-010,AgriSmart: Système d'Optimisation de l'Irrigation par IA et IoT,"Ce projet vise à développer et déployer une plateforme intelligente pour l'optimisation de l'irrigation agricole, réduisant la consommation d'eau tout en maximisant les rendements. La solution s'appuiera sur un réseau de capteurs IoT déployés dans les champs pour collecter en temps réel des données sur l'humidité du sol, la température, l'humidité de l'air et les prévisions météorologiques. Ces données seront ingérées dans une plateforme cloud, où des algorithmes de Machine Learning analyseront les besoins hydriques des cultures spécifiques en fonction de leur stade de croissance, du type de sol et des conditions environnementales. La plateforme fournira ensuite des recommandations d'irrigation précises et personnalisées via une interface web et mobile intuitive. Les principaux défis techniques incluent l'intégration fiable des données IoT, le développement de modèles ML précis et évolutifs, la gestion de grandes quantités de données hétérogènes, la sécurité de la plateforme et des données, ainsi que le développement d'une interface utilisateur simple et efficace pour les agriculteurs.",2023.0,Agriculture,Kenya,0.91,1137500.0,887250.0,15.5,0.0,10.0,4.0,113750.0,Trimestriel,4.0,18.0,15.0,01/03/2023,01/09/2024,01/12/2024,92.0,15,5,0,2,12,10.0,7.33
AGRI-011,AgriSmart Irrigation Platform,"Développement d'une plateforme logicielle et matérielle pour optimiser l'irrigation dans l'agriculture de précision. Le projet vise à intégrer des données provenant de capteurs IoT (humidité du sol, météo, etc.) avec des données géospatiales (type de sol, topographie, limites de parcelles) et des données historiques pour fournir des recommandations d'irrigation précises et localisées aux agriculteurs. La plateforme inclura un système d'ingestion de données en temps réel, un lac de données cloud, des modèles d'analyse et de prédiction basés sur le Machine Learning, une API robuste, et des interfaces utilisateur (web et mobile) intuitives. Les principaux défis techniques résident dans la gestion du flux de données hétérogènes et volumineux, le développement de modèles prédictifs fiables adaptables à diverses conditions, l'intégration transparente des données géospatiales et IoT, la scalabilité de l'infrastructure cloud, et la garantie de la sécurité des données agricoles sensibles.",2023.0,Agriculture,Kenya,0.91,1137500.0,887250.0,18.33,0.0,10.0,5.0,113750.0,Trimestriel,4.0,20.0,15.0,01/03/2023,01/11/2024,01/02/2025,92.0,15,10,0,5,20,15.0,10.83
URB-005,Plateforme de Gestion et d'Optimisation des Espaces Verts Urbains (GEVEO),"Développement d'une plateforme web centralisée pour la gestion, le suivi et l'optimisation des espaces verts urbains (parcs, arbres, jardins publics). Le projet vise à fournir aux municipalités un outil permettant d'inventorier précisément leur patrimoine végétal, de planifier et suivre les opérations de maintenance (taille, arrosage, traitement), d'analyser la santé et la distribution des espèces, et d'interagir avec les citoyens (signalement d'incidents, information). Les défis techniques incluent l'intégration de données géospatiales hétérogènes (SIG existants, relevés terrain) avec des données opérationnelles, la gestion de bases de données spatiales volumineuses, le développement d'interfaces cartographiques performantes et intuitives, l'implémentation de modules d'analyse spatiale complexes, l'assurance de la sécurité des données sensibles et la mise en place d'une architecture cloud scalable et résiliente pour supporter l'accès concurrentiel et les traitements analytiques.",2023.0,Urbanisme,Sénégal,0.91,1137500.0,887250.0,15.5,0.0,15.0,4.0,113750.0,Trimestriel,3.0,18.0,12.0,01/03/2023,01/09/2024,01/12/2024,92.0,15,10,0,5,15,10.0,9.17
AGRI-012,Système Intelligent de Surveillance et d'Optimisation des Cultures (SISOC),"Développement d'une plateforme de précision agricole basée sur l'IoT et l'analyse de données massives. Le projet vise à collecter des données environnementales (température, humidité, lumière, qualité du sol) via un réseau de capteurs IoT déployés dans les champs. Ces données seront transmises à une plateforme cloud centralisée pour stockage, traitement et analyse. Des modèles de Machine Learning seront développés pour prédire les rendements, détecter précocement les maladies ou les carences, et optimiser l'utilisation des ressources (eau, engrais). La plateforme inclura une interface web et mobile permettant aux agriculteurs de visualiser les données, de recevoir des alertes et des recommandations personnalisées. Les défis techniques incluent l'intégration de capteurs hétérogènes, la gestion de flux de données en temps réel, la construction d'une infrastructure cloud scalable et sécurisée, le développement de modèles analytiques précis et l'assurance de la fiabilité du système en environnement rural.",2023.0,Agriculture,Kenya,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,3.0,20.0,15.0,01/03/2023,01/11/2024,01/02/2025,92.0,15,10,0,2,15,10.0,8.67
URB-007,Système de Surveillance Intelligente des Infrastructures Urbaines,"Ce projet vise à développer une plateforme technologique pour le monitoring en temps réel et l'analyse prédictive de l'état des infrastructures critiques au sein d'une ville (ponts, routes, bâtiments publics, réseaux de services). La plateforme s'appuiera sur un réseau de capteurs IoT déployés sur les infrastructures, collectant des données structurelles (vibrations, déformations) et environnementales (température, humidité). Un pipeline de données robuste sera mis en place pour ingérer et traiter de grands volumes de données (Big Data) en temps réel. Un backend puissant effectuera l'analyse, y compris l'application de modèles de Machine Learning pour détecter les anomalies, prédire la dégradation et anticiper les besoins de maintenance. Les données et les analyses seront visualisées via un tableau de bord web interactif (Frontend) pour les opérateurs et les décideurs municipaux. Les défis techniques incluent la gestion de données massives et hétérogènes provenant de l'IoT, l'assurance de la sécurité des données sensibles, le développement de modèles prédictifs précis, la mise en place d'une infrastructure cloud scalable et résiliente (AWS) et l'intégration potentielle avec les systèmes d'information géographiques (SIG) existants de la ville.",2023.0,Urbanisme,Sénégal,0.91,136500000.0,106470000.0,18.0,0.0,15.0,4.0,13650000.0,Trimestriel,4.0,24.0,15.0,01/03/2023,01/03/2025,01/07/2025,122.0,15,5,0,0,10,10.0,6.67
AGRI-013,Plateforme d'Optimisation Agricole Intelligente (POAI),"Développement d'une plateforme web et mobile intégrant des données hétérogènes (météo, sols, satellite, capteurs IoT) pour fournir des recommandations personnalisées aux agriculteurs. L'objectif est d'optimiser les rendements, de réduire l'utilisation des ressources (eau, engrais) et de prévenir les maladies et ravageurs. Les défis techniques incluent l'intégration et la normalisation de flux de données variés, le développement d'algorithmes complexes basés sur le Machine Learning pour l'analyse prédictive et prescriptive, la visualisation spatiale des données et des recommandations via une interface SIG web, la gestion de grandes quantités de données (Big Data), et l'assurance d'une haute disponibilité et sécurité de la plateforme. Le projet nécessite une expertise en data science, SIG, développement full stack et infrastructure cloud.",2023.0,Agriculture,Kenya,0.91,1137500.0,887250.0,15.5,0.0,10.0,4.0,113750.0,Trimestriel,3.0,18.0,15.0,01/03/2023,01/09/2024,01/12/2024,92.0,15,10,0,5,15,10.0,9.17
URB-009,Plateforme d'Optimisation de la Gestion des Espaces Verts Urbains,"Ce projet vise à développer une plateforme intelligente pour l'optimisation de la gestion et de l'entretien des espaces verts urbains (parcs, jardins, arbres d'alignement). L'objectif est d'améliorer l'efficacité des équipes municipales, de réduire les coûts, de mieux anticiper les besoins (arrosage, taille, traitement), et d'optimiser l'utilisation des ressources en se basant sur des données concrètes. Le périmètre inclut la mise en place d'un réseau de capteurs IoT dans les espaces clés (humidité du sol, température, luminosité), l'intégration de données externes (météo, données SIG existantes, données d'usage public), le développement d'une plateforme backend pour l'agrégation, le traitement et l'analyse de ces données massives, ainsi que la création d'une interface web frontend interactive, incluant une cartographie dynamique (SIG WEB), pour visualiser l'état des espaces verts, générer des rapports, planifier les interventions et recevoir des alertes. Les défis techniques majeurs résident dans la collecte et l'intégration de sources de données hétérogènes (temps réel via IoT, statiques via SIG), le traitement et l'analyse de Big Data pour extraire des informations pertinentes (prédiction des besoins, identification des zones à risque), le développement d'algorithmes d'optimisation des tournées et des ressources, la garantie de la fiabilité et de la sécurité du système, et la conception d'une interface utilisateur intuitive pour des non-experts en technologie. La gestion de données spatiales complexes et leur visualisation performante sur le web constituent également un défi significatif.",2023.0,Urbanisme,Sénégal,0.91,1137500.0,887250.0,18.0,0.0,10.0,4.0,113750.0,Trimestriel,3.0,24.0,15.0,01/03/2023,01/03/2025,01/07/2025,122.0,20,15,0,5,15,10.0,10.83
URB-010,Système d'Optimisation Géospatiale des Itinéraires de Collecte de Déchets Urbains,"Ce projet vise à concevoir et implémenter une plateforme logicielle complète pour optimiser dynamiquement les itinéraires de collecte des déchets dans une zone urbaine. Le système intégrera des données géospatiales (cartes, points de collecte), des données opérationnelles (niveau de remplissage des conteneurs via capteurs IoT, position des camions), et potentiellement des données externes (trafic). L'objectif est de réduire les coûts opérationnels, d'améliorer l'efficacité de la collecte et de minimiser l'impact environnemental. Les principaux défis techniques incluent la gestion et l'intégration de grands volumes de données hétérogènes (géospatiales, temporelles, issues de capteurs), le développement et l'application d'algorithmes d'optimisation d'itinéraires complexes en temps quasi réel (variants du Vehicle Routing Problem), la construction d'une interface web cartographique performante et intuitive, et la mise en place d'une infrastructure cloud évolutive et sécurisée pour supporter la charge de calcul et de données.",2023.0,Urbanisme,Sénégal,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,3.0,20.0,15.0,01/03/2023,01/11/2024,01/02/2025,92.0,15,10,0,5,15,10.0,9.17
AGRI-015,AgriOptimiseur: Plateforme d'Analyse et de Recommandation Agricole Basée sur les Données,"Développement d'une plateforme numérique visant à optimiser les pratiques agricoles grâce à la collecte, l'analyse et l'interprétation de données hétérogènes. Le projet consiste à intégrer des données provenant de capteurs IoT (humidité du sol, température), de stations météorologiques, d'images satellite et de données historiques de rendement. Ces données seront traitées et analysées à l'aide de modèles d'apprentissage automatique pour générer des prédictions (rendement, risques de maladies, besoins en eau) et des recommandations personnalisées pour les agriculteurs (irrigation, fertilisation, traitements). La plateforme inclura une interface web et mobile conviviale permettant aux utilisateurs de visualiser leurs données, recevoir des alertes et appliquer les recommandations. Les défis techniques majeurs résident dans l'intégration de flux de données variés et volumineux, le développement de modèles ML précis et évolutifs, la conception d'une architecture cloud robuste et sécurisée, et la création d'une expérience utilisateur intuitive pour un public non technique.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,14.25,0.0,10.0,4.0,113750.0,Trimestriel,3.0,15.0,15.0,01/03/2023,01/08/2024,15/10/2024,75.0,15,10,0,2,15,10.0,8.67
AGRI-016,Plateforme d'Optimisation Agricole Intelligente (POAI),"Ce projet vise à développer une plateforme numérique complète pour aider les agriculteurs à optimiser l'irrigation et à surveiller la santé de leurs cultures. La plateforme collectera des données en temps réel provenant de capteurs IoT déployés dans les champs (humidité du sol, température, précipitations, etc.), ainsi que des données externes (météo, imagerie satellite). Ces données seront stockées et traitées dans une infrastructure cloud scalable. Des modèles de Machine Learning seront développés et entraînés pour prédire les besoins en eau spécifiques à chaque parcelle, anticiper les risques de maladies ou de stress hydrique, et fournir des recommandations personnalisées aux agriculteurs via une interface web et mobile intuitive. Les principaux défis techniques incluent la gestion de flux de données IoT massifs et hétérogènes, le développement de modèles prédictifs précis et robustes dans un environnement agricole variable, l'assurance de la connectivité et de la fiabilité des capteurs en milieu rural, et la création d'une UX/UI simple et accessible pour des utilisateurs non techniques. La sécurité des données agricoles sensibles est également une priorité.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,3.0,20.0,15.0,01/03/2023,01/11/2024,01/02/2025,92.0,15,10,0,5,15,10.0,9.17
AGRI-017,Plateforme d'Optimisation Agricole Géospatiale et Prédictive,"Ce projet vise à développer une plateforme intégrée utilisant des données géospatiales, des capteurs IoT et l'intelligence artificielle pour optimiser les pratiques agricoles et maximiser les rendements. La plateforme collectera des données environnementales (météo, humidité du sol), agronomiques (type de culture, stade de croissance) et spatiales (imagerie satellite, drones), les traitera via des pipelines Big Data sur une infrastructure Cloud, et appliquera des modèles de Machine Learning pour fournir des recommandations précises aux agriculteurs (irrigation, fertilisation, détection de maladies/ravageurs). Les défis techniques incluent l'intégration de sources de données hétérogènes (IoT, SIG, API externes), le développement de modèles ML robustes et interprétables pour des variables complexes, la gestion et l'analyse de grands volumes de données spatiales et temporelles, la création d'une interface utilisateur intuitive (web et mobile) avec des capacités cartographiques avancées, et l'assurance de la sécurité et de la scalabilité du système. La plateforme servira d'outil d'aide à la décision pour une agriculture de précision, réduisant les coûts et l'impact environnemental.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,15.5,0.0,15.0,4.0,106470.0,Trimestriel,4.0,18.0,12.0,01/03/2023,01/09/2024,15/11/2024,75.0,15,10,0,2,12,8.0,7.83
AGRI-018,AGRI-OPTIMA: Plateforme d'Optimisation Agricole Intelligente,"Le projet AGRI-OPTIMA vise à développer une plateforme de pointe pour l'agriculture de précision, exploitant l'Internet des Objets (IoT), l'imagerie satellite et l'apprentissage automatique afin d'optimiser l'utilisation des ressources (eau, fertilisants) et de prédire les rendements des cultures. La plateforme collectera divers flux de données provenant de capteurs de terrain, de stations météorologiques et de sources de télédétection. Ces données seront traitées et analysées en temps quasi réel à l'aide de technologies Big Data et d'algorithmes spatiaux sophistiqués. Des modèles d'apprentissage automatique seront entraînés pour fournir des recommandations actionnables aux agriculteurs via une interface web, incluant des cartes d'application à taux variable et des prévisions de rendement. Les défis techniques majeurs comprennent l'intégration de sources de données hétérogènes, la garantie de la qualité et de l'actualité des données, le développement de pipelines de traitement de données robustes et évolutifs, la construction de modèles ML précis et interprétables, la mise en œuvre de fonctionnalités SIG avancées pour l'analyse spatiale et la visualisation, et la conception d'une interface conviviale. La cybersécurité des données agricoles sensibles et la fiabilité de la plateforme dans des zones reculées sont également des aspects critiques.",2023.0,Agriculture,Kenya,0.91,1137500.0,887250.0,16.33,0.0,10.0,4.0,113750.0,Trimestriel,4.0,20.0,15.0,01/03/2023,01/11/2024,20/01/2025,71.0,15,10,0,5,15,10.0,9.17
AGRI-019,Système Intelligent d'Optimisation de l'Irrigation Agricole (SIOIA),"Développement et déploiement d'une plateforme complète visant à optimiser la consommation d'eau dans l'agriculture en fournissant des recommandations d'irrigation précises basées sur l'analyse de données en temps réel. Le projet implique la mise en place d'un réseau de capteurs IoT (humidité du sol, météo, etc.) sur les parcelles, un pipeline de collecte et de traitement de données massives dans le cloud, le développement de modèles d'intelligence artificielle et de machine learning pour prédire les besoins en eau et générer des programmes d'irrigation optimaux, et une interface utilisateur (web/mobile) permettant aux agriculteurs de visualiser les données, recevoir les recommandations et gérer leurs systèmes d'irrigation connectés. Les défis techniques incluent l'intégration hétérogène des capteurs, la gestion et le traitement des flux de données à grande échelle, l'entraînement et le déploiement de modèles IA robustes et interprétables, la scalabilité de la plateforme cloud, et la sécurisation de l'ensemble du système de bout en bout.",2023.0,Agriculture,Sénégal,0.91,1137500.0,887250.0,15.5,0.0,15.0,4.0,113750.0,Trimestriel,4.0,18.0,12.0,01/03/2023,01/09/2024,25/11/2024,85.0,15,5,0,0,10,10.0,6.67
